"","año","mes","ccaa","nivel","volumen"
"442","2014","Julio","Canarias","2",30252.57
"443","2014","Julio","Canarias","3",34499.12
"444","2014","Julio","Canarias","4",7138.96
"445","2014","Julio","Canarias","5",9338.62
"446","2014","Julio","Cantabria","1",5585.83
"447","2014","Julio","Cantabria","2",10854.34
"448","2014","Julio","Cantabria","3",13064.65
"449","2014","Julio","Cantabria","4",2192.04
"450","2014","Julio","Cantabria","5",1689.52
"451","2014","Julio","Castilla y León","1",28859.91
"452","2014","Julio","Castilla y León","2",46554.21
"453","2014","Julio","Castilla y León","3",57914.68
"454","2014","Julio","Castilla y León","4",11822.09
"455","2014","Julio","Castilla y León","5",8589.14
"456","2014","Julio","Castilla-La Mancha","1",22476.36
"457","2014","Julio","Castilla-La Mancha","2",31985.64
"458","2014","Julio","Castilla-La Mancha","3",41417
"459","2014","Julio","Castilla-La Mancha","4",9079.44
"460","2014","Julio","Castilla-La Mancha","5",9713.67
"461","2014","Julio","Cataluña","1",89942.14
"462","2014","Julio","Cataluña","2",117504.58
"463","2014","Julio","Cataluña","3",124995.57
"464","2014","Julio","Cataluña","4",26457.88
"465","2014","Julio","Cataluña","5",30761.54
"466","2014","Julio","Extremadura","1",13001.79
"467","2014","Julio","Extremadura","2",16207.22
"468","2014","Julio","Extremadura","3",21281.58
"469","2014","Julio","Extremadura","4",4092.28
"470","2014","Julio","Extremadura","5",4639.81
"471","2014","Julio","Galicia","1",32384.67
"472","2014","Julio","Galicia","2",52465.07
"473","2014","Julio","Galicia","3",60683.17
"474","2014","Julio","Galicia","4",11767.97
"475","2014","Julio","Galicia","5",7523.9
"476","2014","Julio","Islas Baleares","1",18875.46
"477","2014","Julio","Islas Baleares","2",18048.15
"478","2014","Julio","Islas Baleares","3",20713.87
"479","2014","Julio","Islas Baleares","4",3786.32
"480","2014","Julio","Islas Baleares","5",4888.03
"481","2014","Julio","La Rioja","1",3050.83
"482","2014","Julio","La Rioja","2",5223.46
"483","2014","Julio","La Rioja","3",6217.95
"484","2014","Julio","La Rioja","4",1420.17
"485","2014","Julio","La Rioja","5",1220.98
"486","2014","Julio","Madrid, Comunidad de","1",39161.15
"487","2014","Julio","Madrid, Comunidad de","2",88730.43
"488","2014","Julio","Madrid, Comunidad de","3",100600.32
"489","2014","Julio","Madrid, Comunidad de","4",21067.12
"490","2014","Julio","Madrid, Comunidad de","5",24396.71
"491","2014","Julio","Murcia, Región de","1",18178.64
"492","2014","Julio","Murcia, Región de","2",20867.04
"493","2014","Julio","Murcia, Región de","3",21294.73
"494","2014","Julio","Murcia, Región de","4",4345.89
"495","2014","Julio","Murcia, Región de","5",7253.37
"496","2014","Julio","Navarra, Comunidad Foral de","1",5530.82
"497","2014","Julio","Navarra, Comunidad Foral de","2",9593.09
"498","2014","Julio","Navarra, Comunidad Foral de","3",12215.26
"499","2014","Julio","Navarra, Comunidad Foral de","4",2075.87
"500","2014","Julio","Navarra, Comunidad Foral de","5",2100.54
"501","2014","Julio","País Vasco","1",16849.24
"502","2014","Julio","País Vasco","2",36019.44
"503","2014","Julio","País Vasco","3",42906.71
"504","2014","Julio","País Vasco","4",7574.84
"505","2014","Julio","País Vasco","5",6832.47
"506","2014","Julio","Valenciana, Comunidad","1",63667.42
"507","2014","Julio","Valenciana, Comunidad","2",79458.98
"508","2014","Julio","Valenciana, Comunidad","3",92200.16
"509","2014","Julio","Valenciana, Comunidad","4",19017.44
"510","2014","Julio","Valenciana, Comunidad","5",23009.55
"511","2014","Junio","Andalucía","1",86652.09
"512","2014","Junio","Andalucía","2",121122.08
"513","2014","Junio","Andalucía","3",139089.96
"514","2014","Junio","Andalucía","4",29398.81
"515","2014","Junio","Andalucía","5",34368.8
"516","2014","Junio","Aragón","1",13860.6
"517","2014","Junio","Aragón","2",22653.08
"518","2014","Junio","Aragón","3",27786.39
"519","2014","Junio","Aragón","4",6126.15
"520","2014","Junio","Aragón","5",4864.8
"521","2014","Junio","Asturias, Principado de","1",12552.31
"522","2014","Junio","Asturias, Principado de","2",17978.29
"523","2014","Junio","Asturias, Principado de","3",22975.34
"524","2014","Junio","Asturias, Principado de","4",3968.64
"525","2014","Junio","Asturias, Principado de","5",2940.09
"526","2014","Junio","Canarias","1",31525.54
"527","2014","Junio","Canarias","2",30329.99
"528","2014","Junio","Canarias","3",32408.68
"529","2014","Junio","Canarias","4",7819.57
"530","2014","Junio","Canarias","5",8857.07
"531","2014","Junio","Cantabria","1",6478.17
"532","2014","Junio","Cantabria","2",11032.56
"533","2014","Junio","Cantabria","3",15939.73
"534","2014","Junio","Cantabria","4",2665.6
"535","2014","Junio","Cantabria","5",1698.13
"536","2014","Junio","Castilla y León","1",26574.84
"537","2014","Junio","Castilla y León","2",41721.48
"538","2014","Junio","Castilla y León","3",55267.23
"539","2014","Junio","Castilla y León","4",11569.75
"540","2014","Junio","Castilla y León","5",7920.95
"541","2014","Junio","Castilla-La Mancha","1",21248.64
"542","2014","Junio","Castilla-La Mancha","2",28783.82
"543","2014","Junio","Castilla-La Mancha","3",40397.17
"544","2014","Junio","Castilla-La Mancha","4",8543.32
